title,link,published,description,source,source sub-category,id
Stunning Gill sets up record demolition of New Zealand,https://www.espncricinfo.com/ci/content/story/1356855.html?ex_cid=OTC-RSS,"Thu, 02 Feb 2023 03:48:31",India's margin of victory was the biggest in a T20I involving two Full-Member teams,espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1356855.html
Shreyas Iyer ruled out of first Australia Test,https://www.espncricinfo.com/ci/content/story/1356838.html?ex_cid=OTC-RSS,"Thu, 02 Feb 2023 00:06:49",The middle-order batter is expected to join the India squad for the second Test in Delhi,espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1356838.html
Stump Mic podcast: India's U-19 title a big win for women's cricket ,https://www.espncricinfo.com/ci/content/story/1356806.html?ex_cid=OTC-RSS,"Sat, 04 Feb 2023 18:40:56","Raunak Kapoor, Lydia Greenway, Marina Iqbal, Valkerie Baynes and Sambit Bal look at the possible impact of India's win",espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1356806.html
"WPL player auction likely on February 11 or 13, Mumbai could host first edition",https://www.espncricinfo.com/ci/content/story/1356779.html?ex_cid=OTC-RSS,"Wed, 01 Feb 2023 08:23:19","Jhulan Goswami, meanwhile, is set to join the Mumbai franchise as bowling coach and mentor",espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1356779.html
Jadeja set to join India squad in Nagpur ahead of Australia series,https://www.espncricinfo.com/ci/content/story/1356761.html?ex_cid=OTC-RSS,"Tue, 31 Jan 2023 15:42:56","Shreyas Iyer, however, is yet to get a clearance from the NCA as he continues his recovery from a back issue",espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1356761.html
Ajinkya Rahane to play for Leicestershire in 2023 county season,https://www.espncricinfo.com/ci/content/story/1356730.html?ex_cid=OTC-RSS,"Tue, 31 Jan 2023 17:11:42",This will be Rahane's second stint in County Championship after 2019 when he represented Hampshire,espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1356730.html
New Zealand target rare series win in India,https://www.espncricinfo.com/ci/content/story/1356693.html?ex_cid=OTC-RSS,"Tue, 31 Jan 2023 13:31:16","Apart from a one-off T20I in 2012, the visitors have not won a bilateral series of any format in India",espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1356693.html
Lucknow curator sacked for 'shocker of a pitch' for second India-NZ T20I,https://www.espncricinfo.com/ci/content/story/1356634.html?ex_cid=OTC-RSS,"Tue, 31 Jan 2023 07:30:10",India captain Hardik Pandya had criticised the surface after chasing the target of 100 with only one ball to spare,espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1356634.html
"Deepti Sharma, Pooja Vastrakar star with the ball to keep West Indies winless",https://www.espncricinfo.com/ci/content/story/1356566.html?ex_cid=OTC-RSS,"Mon, 30 Jan 2023 17:57:12","They shared five out of the six wickets, before Jemimah Rodrigues and Harmanpreet Kaur controlled the chase",espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1356566.html
M Vijay retires from international cricket,https://www.espncricinfo.com/ci/content/story/1356529.html?ex_cid=OTC-RSS,"Mon, 30 Jan 2023 11:19:05","Former India opener will explore ""new opportunities in the world of cricket and the business side of it""",espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1356529.html
